year,rate
1996,2.7
1997,2.4
1998,2.3
1999,2.05
2000,2.4
2001,2.65
2002,2.35
2003,1.5
2004,1.8
2005,2.15
2006,2.45
2007,2.35
2008,2.3
2009,1.7
2010,0.95
2011,1.65
2012,2.1
2013,1.75
2014,1.75
2015,1.8
2016,2.2
2017,1.85
